time,Tf_1,Tf_2,Ts,hsf,v_1,v_2
137,303.0500002371,303.05000023781,303.05000021845,100000000000,-4.8687761594609e-05,-4.6958555004565e-05
138,303.05000023873,303.05000023944,303.05000022008,100000000000,-4.8687761593601e-05,-4.6958555004926e-05
139,303.05000024036,303.05000024107,303.05000022171,100000000000,-4.8687761592592e-05,-4.6958555004133e-05
140,303.05000024199,303.0500002427,303.05000022334,100000000000,-4.8687761593313e-05,-4.6958555004565e-05
141,303.05000024362,303.05000024433,303.05000022497,100000000000,-4.8687761593601e-05,-4.6958555004926e-05
142,303.05000024525,303.05000024596,303.05000022659,100000000000,-4.8687761593745e-05,-4.6958555005358e-05
143,303.05000024688,303.05000024759,303.05000022822,100000000000,-4.868776159216e-05,-4.6958555004638e-05
144,303.05000024851,303.05000024922,303.05000022985,100000000000,-4.8687761593457e-05,-4.6958555004998e-05
145,303.05000025014,303.05000025085,303.05000023148,100000000000,-4.8687761594177e-05,-4.6958555004205e-05
146,303.05000025177,303.05000025248,303.0500002331,100000000000,-4.8687761592592e-05,-4.6958555004638e-05
147,303.0500002534,303.05000025411,303.05000023473,100000000000,-4.8687761593169e-05,-4.6958555004998e-05
148,303.05000025503,303.05000025573,303.05000023636,100000000000,-4.8687761594465e-05,-4.6958555004277e-05
149,303.05000025666,303.05000025736,303.05000023798,100000000000,-4.8687761594033e-05,-4.6958555004638e-05
150,303.05000025829,303.05000025899,303.05000023961,100000000000,-4.8687761593024e-05,-4.6958555004998e-05
151,303.05000025992,303.05000026062,303.05000024124,100000000000,-4.8687761594465e-05,-4.6958555005358e-05
152,303.05000026155,303.05000026225,303.05000024287,100000000000,-4.8687761593889e-05,-4.6958555005718e-05
153,303.05000026317,303.05000026388,303.05000024449,100000000000,-4.868776159288e-05,-4.6958555004998e-05
154,303.0500002648,303.0500002655,303.05000024612,100000000000,-4.8687761593601e-05,-4.6958555004205e-05
155,303.05000026643,303.05000026713,303.05000024775,100000000000,-4.8687761593601e-05,-4.6958555004493e-05
