Time,In_column_Top
4488,302.2596
4489,302.2546
4490,302.2536
4491,302.2536
4492,302.2556
4493,302.2556
4494,302.2566
4495,302.2586
4496,302.2586
4497,302.2546
4498,302.2536
4499,302.2536
4500,302.2456
4501,302.2456
4502,302.2446
4503,302.2436
4504,302.2436
4505,302.2446
4506,302.2446
4507,302.2446
4508,302.2376
4509,302.2376
4510,302.2376
4511,302.2376
4512,302.2376
4513,302.2486
4514,302.2546
4515,302.2546
4516,302.2386
4517,302.2376
4518,302.2386
4519,302.2406
4520,302.2406
4521,302.2436
4522,302.2456
4523,302.2456
4524,302.2296
4525,302.2256
4526,302.2276
4527,302.2366
4528,302.2366
4529,302.2366
4530,302.2356
4531,302.2356
4532,302.2376
4533,302.2386
4534,302.2386
4535,302.2356
4536,302.2356
4537,302.2376
4538,302.2416
4539,302.2416
4540,302.2436
4541,302.2436
4542,302.2426
4543,302.2336
4544,302.2336
4545,302.2346
4546,302.2366
4547,302.2366
4548,302.2376
4549,302.2386
4550,302.2386
4551,302.2376
4552,302.2376
4553,302.2376
4554,302.2366
4555,302.2366
4556,302.2356
4557,302.2356
4558,302.2356
4559,302.2276
4560,302.2266
4561,302.2266
4562,302.2286
4563,302.2286
4564,302.2326
4565,302.2356
4566,302.2356
4567,302.2296
4568,302.2286
4569,302.2276
4570,302.2246
4571,302.2246
4572,302.2256
4573,302.2276
4574,302.2276
4575,302.2276
4576,302.2276
4577,302.2266
4578,302.2176
4579,302.2176
4580,302.2196
4581,302.2236
4582,302.2236
4583,302.2226
4584,302.2226
4585,302.2226
4586,302.2246
4587,302.2246
4588,302.2246
4589,302.2236
4590,302.2236
4591,302.2216
4592,302.2206
4593,302.2206
4594,302.2246
4595,302.2256
4596,302.2236
4597,302.2186
4598,302.2186
4599,302.2216
4600,302.2236
4601,302.2236
4602,302.2226
4603,302.2226
4604,302.2226
4605,302.2206
4606,302.2206
4607,302.2186
4608,302.2156
4609,302.2156
4610,302.2196
4611,302.2206
4612,302.2196
4613,302.2146
4614,302.2146
4615,302.2196
4616,302.2256
4617,302.2256
4618,302.2266
4619,302.2266
4620,302.2266
4621,302.2136
4622,302.2136
4623,302.2116
4624,302.2085
4625,302.2085
4626,302.2146
4627,302.2176
4628,302.2176
4629,302.2226
4630,302.2226
4631,302.2196
4632,302.2095
4633,302.2095
4634,302.2146
4635,302.2186
4636,302.2186
4637,302.2136
4638,302.2126
4639,302.2136
4640,302.2226
4641,302.2226
4642,302.2186
4643,302.2146
4644,302.2146
4645,302.2166
4646,302.2166
4647,302.2176
4648,302.2216
4649,302.2216
4650,302.2186
4651,302.2156
4652,302.2156
4653,302.2136
4654,302.2126
4655,302.2126
4656,302.2206
4657,302.2206
4658,302.2166
4659,302.2106
4660,302.2106
4661,302.2176
4662,302.2216
4663,302.2216
4664,302.2146
4665,302.2146
4666,302.2126
4667,302.2075
4668,302.2075
4669,302.2126
4670,302.2166
4671,302.2166
4672,302.2136
4673,302.2136
4674,302.2136
4675,302.2146
4676,302.2146
4677,302.2166
4678,302.2176
4679,302.2176
4680,302.2095
4681,302.2075
4682,302.2085
4683,302.2186
4684,302.2186
4685,302.2206
4686,302.2226
4687,302.2226
4688,302.2136
4689,302.2106
4690,302.2116
4691,302.2156
4692,302.2156
4693,302.2156
4694,302.2146
4695,302.2146
4696,302.2166
4697,302.2176
4698,302.2176
4699,302.2186
4700,302.2186
4701,302.2166
4702,302.2136
4703,302.2136
4704,302.2116
4705,302.2095
4706,302.2095
4707,302.2166
4708,302.2166
4709,302.2146
4710,302.2106
4711,302.2106
4712,302.2116
4713,302.2116
4714,302.2116
4715,302.2166
4716,302.2176
4717,302.2176
4718,302.2186
4719,302.2186
4720,302.2146
4721,302.2116
4722,302.2116
4723,302.2186
4724,302.2206
4725,302.2186
4726,302.2025
4727,302.2025
4728,302.2116
4729,302.2236
4730,302.2236
4731,302.2206
4732,302.2196
4733,302.2196
4734,302.2106
4735,302.2106
4736,302.2116
4737,302.2126
4738,302.2126
4739,302.2126
4740,302.2126
4741,302.2126
4742,302.2136
4743,302.2136
4744,302.2136
4745,302.2136
4746,302.2136
4747,302.2146
4748,302.2146
4749,302.2146
4750,302.2176
4751,302.2176
4752,302.2166
4753,302.2126
4754,302.2126
4755,302.2176
4756,302.2216
4757,302.2216
4758,302.2196
4759,302.2186
4760,302.2186
4761,302.2166
4762,302.2166
4763,302.2186
4764,302.2206
4765,302.2206
4766,302.2095
4767,302.2065
4768,302.2065
4769,302.2095
4770,302.2095
4771,302.2136
4772,302.2216
4773,302.2216
4774,302.2106
4775,302.2065
4776,302.2065
4777,302.2075
4778,302.2075
4779,302.2085
4780,302.2116
4781,302.2116
4782,302.2126
4783,302.2136
4784,302.2136
4785,302.2166
4786,302.2166
4787,302.2146
4788,302.2085
4789,302.2085
4790,302.2106
4791,302.2116
4792,302.2116
4793,302.2116
4794,302.2116
4795,302.2126
4796,302.2186
4797,302.2186
4798,302.2166
4799,302.2136
4800,302.2136
4801,302.2085
4802,302.2075
4803,302.2075
4804,302.2065
4805,302.2065
4806,302.2085
4807,302.2126
4808,302.2126
4809,302.2045
4810,302.2005
4811,302.2005
4812,302.2015
4813,302.2015
4814,302.2025
4815,302.2055
4816,302.2055
4817,302.2075
4818,302.2085
4819,302.2085
4820,302.2085
4821,302.2085
4822,302.2075
4823,302.2055
4824,302.2055
4825,302.2045
4826,302.2035
4827,302.2035
4828,302.2106
4829,302.2116
4830,302.2106
4831,302.2045
4832,302.2045
4833,302.2035
4834,302.2025
4835,302.2025
4836,302.2005
4837,302.1995
4838,302.2005
4839,302.2045
4840,302.2045
4841,302.2045
4842,302.2035
4843,302.2035
4844,302.2015
4845,302.2005
4846,302.2005
4847,302.1965
4848,302.1965
4849,302.1995
4850,302.2045
4851,302.2045
4852,302.2005
4853,302.1985
4854,302.1985
4855,302.2035
4856,302.2035
4857,302.2025
4858,302.1985
4859,302.1985
4860,302.2035
4861,302.2065
4862,302.2065
4863,302.1985
4864,302.1985
4865,302.1975
4866,302.1935
4867,302.1935
4868,302.2015
4869,302.2085
4870,302.2085
4871,302.2045
4872,302.2035
4873,302.2045
4874,302.2106
4875,302.2106
4876,302.2045
4877,302.1975
4878,302.1975
4879,302.1985
4880,302.1985
4881,302.1975
4882,302.1935
4883,302.1935
4884,302.1965
4885,302.1995
4886,302.1995
4887,302.2035
4888,302.2045
4889,302.2045
4890,302.2005
4891,302.2005
4892,302.1975
4893,302.1905
4894,302.1905
4895,302.1915
4896,302.1915
4897,302.1915
4898,302.1905
4899,302.1905
4900,302.1935
4901,302.2035
4902,302.2035
4903,302.1935
4904,302.1845
4905,302.1845
4906,302.1935
4907,302.1945
4908,302.1945
4909,302.1945
4910,302.1945
4911,302.1935
4912,302.1925
4913,302.1925
4914,302.1855
4915,302.1845
4916,302.1855
4917,302.1955
4918,302.1955
4919,302.1945
4920,302.1935
4921,302.1935
4922,302.1895
4923,302.1875
4924,302.1875
4925,302.1855
4926,302.1855
4927,302.1865
4928,302.1885
4929,302.1885
4930,302.1895
4931,302.1905
4932,302.1905
4933,302.1815
4934,302.1815
4935,302.1835
4936,302.1885
4937,302.1885
4938,302.1895
4939,302.1905
4940,302.1905
4941,302.1865
4942,302.1865
4943,302.1855
4944,302.1825
4945,302.1825
4946,302.1815
4947,302.1805
4948,302.1805
4949,302.1765
4950,302.1765
4951,302.1775
4952,302.1805
4953,302.1805
4954,302.1835
4955,302.1875
4956,302.1875
4957,302.1825
